"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"2000-12-28 17:51:00","monument valley","ut","us","other","20.0","20 sec.","Adult male driving in a remote area of Monument Valley&#44 southeastern UT&#44 observed a star-sized blue-white light describing a path with","2001-02-18 00:00:00","37.004245","-110.173478"
"2008-09-10 14:00:00","portland","or","us","cylinder","900.0","15 min","gold cylindrical object with red top and bottom. Tumbles head over head at high altitiude.","2009-01-10 00:00:00","45.5236111","-122.675"
"2012-10-07 20:10:00","vista","ca","us","triangle","4.0","4 seconds","I was out on my porch that faces south. Wind 1-2 mph from east&#44 scattered puffball clouds. Night sky Illuminated by city lights. I saw","2012-10-30 00:00:00","33.2","-117.2416667"
"2005-06-13 20:34:00","seattle/tacoma (between)","wa","us","unknown","240.0","4 minutes","Shiny distant metallic silver object through binoculars at sunset...Associated with a rising black balloon-like object.","2005-06-20 00:00:00","47.44443","-122.300497"
"2011-09-02 22:15:00","matlock","wa","us","light","1200.0","20m","Single light&#44 made abrupt movement and disappeared.","2011-10-10 00:00:00","47.2380556","-123.4066667"
"1996-03-15 03:00:00","san felipe (driving south to) (mexico)","","ve","diamond","900.0","15 min.","While traveling to San Felipe for a fishing trip Three Immigration Inspectors and myself a Customs Inspector spotted a &quot;diamond&quot; to the","2002-11-20 00:00:00","10.340556","-68.736944"
"2008-12-31 00:00:00","el cajon","ca","us","unknown","300.0","5 minutes","http://www.youtube.com/watch?v=NkXK__OA2ho     link to my video","2009-01-10 00:00:00","32.7947222","-116.9616667"
"1974-09-15 03:00:00","chico","ca","us","chevron","300.0","5 mn","in 1974&#44 I saw a white triangular object moveing low and slow over orchards and fields north of chico CA","2003-11-26 00:00:00","39.7286111","-121.8363889"
"2013-03-29 20:00:00","gainsvile","fl","us","fireball","900.0","15 minutes","8 large low flying fire balls seen flying single file over head and gathering together to form a symbol.","2013-05-15 00:00:00","29.651634","-82.324826"
"2013-11-05 17:00:00","springfield","la","us","circle","15.0","15 seconds","Ufo over springfield La.","2013-11-11 00:00:00","30.4288889","-90.5486111"
"2012-01-06 09:15:00","taylor","mi","us","fireball","120.0","2min","Red fiery object witnessed by 3 adults.","2012-01-12 00:00:00","42.2408333","-83.2697222"
"1999-07-10 22:45:00","newberg","or","us","circle","2400.0","40 min","Bright red object&#44 moved alittle than stayed stationary until it fizzled out. Was it Baloon with flare? Red Sun? Meteorite coming towar","1999-07-14 00:00:00","45.3002778","-122.9719444"
"2006-04-23 11:45:00","bluefield","wv","us","fireball","40.0","40 seconds","AS MY WIFE AND I WERE COMING BACK FROM MY FAMILIES HOUSE IN MCDOWELL COUNTY&#44 WE TOOK THE EXIT TO GO TO OUR HOUSE IN THE CITY OF PRINCET","2006-05-15 00:00:00","37.2697222","-81.2225"
"1977-07-25 20:00:00","danbury","ct","us","disk","300.0","5 minutes","Close up sighting of UFO saucer over house at about 100 feet altitude.","2012-01-12 00:00:00","41.3947222","-73.4544444"
"2011-01-15 22:43:00","burnsville","mn","us","oval","5.0","5 seconds","very fast.","2011-01-31 00:00:00","44.7677778","-93.2775"
"1999-10-03 21:45:00","salem","or","us","flash","2.0","2 seconds","saw something out of the corner of my eye turend in time to see 2 flashes","1999-10-19 00:00:00","44.9430556","-123.0338889"
"2012-12-19 21:30:00","nicholson","ga","us","circle","10.0","10 seconds","Round outline&#44 lights completely around it&#44 going East&#44 low&#44 load&#44 and slow.","2012-12-21 00:00:00","34.1138889","-83.4316667"
"2000-05-20 21:50:00","yukon (canada)","yk","ca","circle","180.0","2 -3 minutes","My husband and I was walking outside and we looked up to stargaze&#44 and we noticed a yellowish-glowing light moving out of the Northwest","2000-06-21 00:00:00","64.282327","-135.0"
"1999-11-06 11:43:00","allentown","pa","us","disk","300.0","5 minutes","We were sitting in a car and looking up at a singal engine plane. Suddenly a small disc craft went flying past it. It was very close to","1999-11-17 00:00:00","40.6083333","-75.4905556"
